-------------------------------------------------------------------------------------------------
| yProperty                                                           | yCountDistinct | yCount |
| <http://dbpedia.org/ontology/soundRecording>                        | 4              | 117    |
| <http://dbpedia.org/property/elevationMaxM>                         | 4              | 16     |
| <http://dbpedia.org/property/filename>                              | 4              | 117    |
| <http://dbpedia.org/property/areaUrbanSqMi>                         | 3              | 4      |
| <http://dbpedia.org/property/description>                           | 3              | 67     |
| <http://dbpedia.org/property/populationDensityUrbanKm>              | 3              | 15     |
| <http://dbpedia.org/ontology/populationUrbanDensity>                | 3              | 15     |
| <http://dbpedia.org/ontology/PopulatedPlace/populationUrbanDensity> | 3              | 15     |
| <http://dbpedia.org/ontology/PopulatedPlace/populationMetroDensity> | 3              | 8      |
| <http://dbpedia.org/property/country>                               | 3              | 15     |
| <http://dbpedia.org/ontology/populationMetroDensity>                | 3              | 8      |
| <http://dbpedia.org/property/censusYr>                              | 3              | 6      |
| <http://dbpedia.org/ontology/countySeat>                            | 3              | 6      |
| <http://dbpedia.org/property/populationDensityMetroKm>              | 3              | 8      |
| <http://dbpedia.org/property/region>                                | 3              | 5      |
| <http://dbpedia.org/ontology/censusYear>                            | 3              | 6      |
| <http://dbpedia.org/property/county>                                | 3              | 6      |
| <http://dbpedia.org/property/pop>                                   | 3              | 6      |
| <http://dbpedia.org/ontology/managementElevation>                   | 2              | 6      |
| <http://dbpedia.org/property/highestRegion>                         | 2              | 6      |
| <http://dbpedia.org/property/countryLargestCity>                    | 2              | 12     |
| <http://dbpedia.org/ontology/highestRegion>                         | 2              | 6      |
| <http://dbpedia.org/property/category>                              | 2              | 8      |
| <http://dbpedia.org/property/seatWl>                                | 2              | 5      |
| <http://dbpedia.org/property/vorwahl>                               | 2              | 11     |
| <http://dbpedia.org/ontology/capitalPosition>                       | 2              | 6      |
| <http://dbpedia.org/ontology/lowest>                                | 2              | 6      |
| <http://dbpedia.org/ontology/capitalRegion>                         | 2              | 6      |
| <http://dbpedia.org/property/popMetro>                              | 2              | 10     |
| <http://dbpedia.org/property/border>                                | 2              | 6      |
| <http://dbpedia.org/property/part>                                  | 2              | 6      |
| <http://dbpedia.org/property/city>                                  | 2              | 14     |
| <http://dbpedia.org/ontology/governmentCountry>                     | 2              | 6      |
| <http://dbpedia.org/ontology/daylightSavingTimeZone>                | 2              | 6      |
| <http://dbpedia.org/property/governmentCountry>                     | 2              | 6      |
| <http://dbpedia.org/property/largestCityWl>                         | 2              | 5      |
| <http://dbpedia.org/property/mayor>                                 | 2              | 4      |
| <http://dbpedia.org/property/lowest>                                | 2              | 6      |
| <http://dbpedia.org/property/highestElevation>                      | 2              | 6      |
| <http://dbpedia.org/property/densitySqMi>                           | 2              | 5      |
| <http://dbpedia.org/ontology/region>                                | 2              | 4      |
| <http://dbpedia.org/property/areaPercentage>                        | 2              | 5      |
| <http://dbpedia.org/property/highest>                               | 2              | 6      |
| <http://dbpedia.org/property/governmentElevation>                   | 2              | 6      |
| <http://dbpedia.org/ontology/highestPlace>                          | 2              | 6      |
| <http://dbpedia.org/property/capitalRegion>                         | 2              | 6      |
| <http://dbpedia.org/property/code>                                  | 2              | 6      |
| <http://dbpedia.org/ontology/governmentPosition>                    | 2              | 6      |
| <http://dbpedia.org/property/location>                              | 2              | 12     |
| <http://dbpedia.org/property/managementElevation>                   | 2              | 6      |
| <http://dbpedia.org/ontology/governmentRegion>                      | 2              | 6      |
| <http://dbpedia.org/property/plz>                                   | 2              | 11     |
| <http://dbpedia.org/property/governmentRegion>                      | 2              | 6      |
| <http://dbpedia.org/ontology/code>                                  | 2              | 6      |
| <http://dbpedia.org/property/elevationMinM>                         | 2              | 12     |
| <http://dbpedia.org/property/established>                           | 2              | 10     |
| <http://dbpedia.org/ontology/governmentElevation>                   | 2              | 6      |
| <http://dbpedia.org/ontology/managementPosition>                    | 2              | 6      |
| <http://dbpedia.org/ontology/border>                                | 2              | 6      |
| <http://dbpedia.org/property/elevation>                             | 2              | 5      |
| <http://dbpedia.org/property/lowestElevation>                       | 2              | 6      |
| <http://dbpedia.org/ontology/city>                                  | 2              | 14     |
| <http://dbpedia.org/property/twin1Country>                          | 1              | 70     |
| <http://dbpedia.org/property/geology>                               | 1              | 8      |
| <http://dbpedia.org/property/period>                                | 1              | 2      |
| <http://dbpedia.org/ontology/twinTown>                              | 1              | 5      |
| <http://dbpedia.org/property/highestState>                          | 1              | 2      |
| <http://dbpedia.org/property/otherName>                             | 1              | 4      |
| <http://dbpedia.org/ontology/lowestMountain>                        | 1              | 2      |
| <http://dbpedia.org/property/district>                              | 1              | 4      |
| <http://dbpedia.org/ontology/highestPosition>                       | 1              | 4      |
| <http://dbpedia.org/property/politicalGroups>                       | 1              | 5      |
| <http://dbpedia.org/property/electionName>                          | 1              | 1      |
| <http://dbpedia.org/property/densityKm>                             | 1              | 1      |
| <http://dbpedia.org/ontology/lowestPlace>                           | 1              | 2      |
| <http://dbpedia.org/property/areaMetro>                             | 1              | 2      |
| <http://dbpedia.org/property/capitalCountry>                        | 1              | 2      |
| <http://dbpedia.org/property/seat>                                  | 1              | 1      |
| <http://dbpedia.org/property/foundedYear>                           | 1              | 1      |
| <http://dbpedia.org/property/capitalElevation>                      | 1              | 4      |
| <http://dbpedia.org/property/electionDate>                          | 1              | 1      |
| <http://dbpedia.org/property/stand>                                 | 1              | 2      |
| <http://dbpedia.org/property/bürgermeistertitel>                    | 1              | 2      |
| <http://dbpedia.org/property/archipelago>                           | 1              | 11     |
| <http://dbpedia.org/ontology/saint>                                 | 1              | 2      |
| <http://dbpedia.org/ontology/province>                              | 1              | 2      |
| <http://dbpedia.org/property/biome>                                 | 1              | 2      |
| <http://dbpedia.org/property/saint>                                 | 1              | 2      |
| <http://dbpedia.org/ontology/synonym>                               | 1              | 4      |
| <http://dbpedia.org/ontology/federalState>                          | 1              | 2      |
| <http://dbpedia.org/property/highestLocation>                       | 1              | 2      |
| <http://dbpedia.org/property/id>                                    | 1              | 1      |
| <http://dbpedia.org/property/capitalLocation>                       | 1              | 4      |
| <http://dbpedia.org/ontology/map>                                   | 1              | 38     |
| <http://dbpedia.org/property/lastElection>                          | 1              | 5      |
| <http://dbpedia.org/ontology/title>                                 | 1              | 1      |
| <http://dbpedia.org/ontology/capitalCountry>                        | 1              | 2      |
| <http://dbpedia.org/property/postal2Code>                           | 1              | 1      |
| <http://dbpedia.org/ontology/district>                              | 1              | 4      |
| <http://dbpedia.org/ontology/capitalElevation>                      | 1              | 4      |
| <http://dbpedia.org/property/province>                              | 1              | 2      |
| <http://dbpedia.org/property/popEstAsOf>                            | 1              | 1      |
| <http://dbpedia.org/ontology/archipelago>                           | 1              | 11     |
| <http://dbpedia.org/property/licence>                               | 1              | 2      |
| <http://dbpedia.org/property/lowestLocation>                        | 1              | 2      |
| <http://rdvocab.info/RDARelationshipsWEMI/manifestationOfWork>      | 1              | 141    |
| <http://dbpedia.org/ontology/capitalMountain>                       | 1              | 4      |
| <http://dbpedia.org/property/imageMap>                              | 1              | 38     |
| <http://dbpedia.org/ontology/capitalPlace>                          | 1              | 4      |
| <http://dbpedia.org/property/twin>                                  | 1              | 5      |
| <http://dbpedia.org/ontology/twinCountry>                           | 1              | 70     |
| <http://dbpedia.org/ontology/startDate>                             | 1              | 1      |
-------------------------------------------------------------------------------------------------
