--------------------------------------------------------------------------------------------	yProperty	yCountDistinct	yCount
============================================================================================
http://dbpedia.org/property/latinName	3	3
http://dbpedia.org/property/nativenameA	3	3
http://dbpedia.org/property/areaWaterPercent	2	2
http://dbpedia.org/ontology/populationAsOf	2	2
http://dbpedia.org/property/insee	2	2
http://dbpedia.org/ontology/other	2	2
http://dbpedia.org/ontology/commander	1	2
http://dbpedia.org/ontology/hometown	1	2
http://dbpedia.org/property/affiliation	2	2
http://dbpedia.org/ontology/routeJunction	1	2
http://dbpedia.org/property/notableInstruments	1	2
http://dbpedia.org/property/elevationMaxFt	2	2
http://dbpedia.org/ontology/activeYearsEndYear	1	2
http://dbpedia.org/ontology/viceChancellor	2	2
http://dbpedia.org/ontology/purpose	1	2
http://dbpedia.org/property/deathDate	1	2
http://dbpedia.org/property/deathPlace	1	2
http://dbpedia.org/property/purpose	1	2
http://dbpedia.org/property/awards	1	2
http://dbpedia.org/property/parking	2	2
http://dbpedia.org/ontology/director	2	2
http://dbpedia.org/property/ownerOper	2	2
http://dbpedia.org/ontology/birthPlace	1	2
http://dbpedia.org/ontology/background	1	2
http://dbpedia.org/ontology/deathPlace	1	2
http://dbpedia.org/ontology/deathDate	1	2
http://dbpedia.org/property/currentTenants	2	2
http://dbpedia.org/property/viceChancellor	2	2
http://dbpedia.org/ontology/percentageOfAreaWater	2	2
http://dbpedia.org/property/birthPlace	1	2
http://dbpedia.org/property/other	2	2
http://dbpedia.org/property/r4LengthM	2	2
http://dbpedia.org/property/elevationMaxM	2	2
http://dbpedia.org/property/length	2	2
http://dbpedia.org/ontology/inseeCode	2	2
http://dbpedia.org/ontology/instrument	1	2
http://dbpedia.org/property/libraryName	1	2
http://dbpedia.org/property/origin	1	2
http://dbpedia.org/property/background	1	2
http://dbpedia.org/ontology/birthDate	1	2
http://dbpedia.org/property/yearsActive	1	2
http://dbpedia.org/property/commander	1	2
http://dbpedia.org/property/population	2	2
http://dbpedia.org/property/director	2	2
http://dbpedia.org/ontology/reopeningYear	2	2
http://dbpedia.org/property/populationAsOf	2	2
http://dbpedia.org/ontology/nearestCity	1	2
http://dbpedia.org/ontology/numberOfParkingSpaces	2	2
http://dbpedia.org/ontology/rebuildingDate	1	2
http://dbpedia.org/property/renovated	1	2
http://dbpedia.org/property/birthDate	1	2
http://dbpedia.org/ontology/activeYearsStartYear	1	2
http://dbpedia.org/property/roadName	2	2
http://dbpedia.org/ontology/borough	1	2
http://dbpedia.org/ontology/Infrastructure/length	2	2
http://dbpedia.org/property/areaKm	2	2
http://dbpedia.org/property/elevationMinFt	2	2
http://dbpedia.org/property/elevationMinM	2	2
http://dbpedia.org/property/birthName	1	2
http://xmlns.com/foaf/0.1/givenName	1	2
http://dbpedia.org/property/reopened	2	2
http://dbpedia.org/property/isoCode	1	1
http://dbpedia.org/ontology/averageDepth	1	1
http://dbpedia.org/ontology/internationally	1	1
http://dbpedia.org/property/londonBorough	1	1
http://dbpedia.org/ontology/gridReference	1	1
http://dbpedia.org/property/utcOffset1Dst	1	1
http://dbpedia.org/property/opening	1	1
http://dbpedia.org/property/head	1	1
http://dbpedia.org/ontology/shoreLength	1	1
http://dbpedia.org/property/founder	1	1
http://dbpedia.org/property/nearestCity	1	1
http://dbpedia.org/ontology/closingYear	1	1
http://dbpedia.org/ontology/Lake/shoreLength	1	1
http://dbpedia.org/ontology/width	1	1
http://dbpedia.org/ontology/rebuildingYear	1	1
http://dbpedia.org/ontology/maintainedBy	1	1
http://dbpedia.org/property/venue	1	1
http://dbpedia.org/ontology/picture	1	1
http://dbpedia.org/ontology/foundedBy	1	1
http://dbpedia.org/property/provost	1	1
http://dbpedia.org/ontology/membership	1	1
http://dbpedia.org/property/maint	1	1
http://dbpedia.org/ontology/maximumDepth	1	1
http://dbpedia.org/property/formation	1	1
http://dbpedia.org/property/buildingName	1	1
http://dbpedia.org/ontology/head	1	1
http://dbpedia.org/property/products	1	1
http://dbpedia.org/property/chairman	1	1
http://dbpedia.org/property/assets	1	1
http://dbpedia.org/property/oldNames	1	1
http://dbpedia.org/property/doctoral	1	1
http://dbpedia.org/ontology/equity	1	1
http://dbpedia.org/property/route	1	1
http://dbpedia.org/property/intl	1	1
http://dbpedia.org/ontology/provost	1	1
http://dbpedia.org/property/frozen	1	1
http://dbpedia.org/property/sisterCollege	1	1
http://dbpedia.org/property/mayor	1	1
http://dbpedia.org/property/dialCode	1	1
http://dbpedia.org/property/tenant	1	1
http://dbpedia.org/ontology/numberOfDoctoralStudents	1	1
http://dbpedia.org/property/equity	1	1
http://dbpedia.org/ontology/frozen	1	1
http://dbpedia.org/ontology/award	1	1
http://dbpedia.org/ontology/county	1	1
http://dbpedia.org/property/sports	1	1
http://dbpedia.org/property/cities	1	1
http://dbpedia.org/property/ownership	1	1
http://dbpedia.org/property/streetaddress	1	1
http://dbpedia.org/property/regionServed	1	1
http://dbpedia.org/property/areaMetroSqMi	1	1
http://dbpedia.org/ontology/areaMetro	1	1
http://dbpedia.org/ontology/sisterCollege	1	1
http://dbpedia.org/ontology/isoCodeRegion	1	1
http://dbpedia.org/property/numVolunteers	1	1
http://dbpedia.org/property/enrollment	1	1
http://dbpedia.org/ontology/assets	1	1
http://dbpedia.org/ontology/areaOfCatchment	1	1
http://dbpedia.org/property/postalcode	1	1
http://dbpedia.org/property/est	1	1
http://dbpedia.org/property/headquarters	1	1
http://dbpedia.org/property/department	1	1
http://dbpedia.org/property/lakeType	1	1
http://dbpedia.org/ontology/mayor	1	1
http://dbpedia.org/ontology/chairman	1	1
http://dbpedia.org/ontology/dean	1	1
http://dbpedia.org/ontology/Lake/areaOfCatchment	1	1
http://dbpedia.org/ontology/PopulatedPlace/areaMetro	1	1
