-------------------------------------------------------------------------------------------------
| yProperty                                                           | yCountDistinct | yCount |
| <http://dbpedia.org/property/saint>                                 | 12             | 33     |
| <http://dbpedia.org/property/location>                              | 12             | 50     |
| <http://dbpedia.org/property/elevationMinFt>                        | 12             | 32     |
| <http://dbpedia.org/ontology/twinCountry>                           | 12             | 146    |
| <http://dbpedia.org/ontology/foundingYear>                          | 11             | 38     |
| <http://dbpedia.org/ontology/province>                              | 11             | 31     |
| <http://dbpedia.org/property/totalarea>                             | 11             | 24     |
| <http://dbpedia.org/property/arrondissement>                        | 11             | 41     |
| <http://dbpedia.org/property/fullname>                              | 11             | 24     |
| <http://dbpedia.org/property/department>                            | 11             | 34     |
| <http://dbpedia.org/property/province>                              | 11             | 31     |
| <http://dbpedia.org/ontology/department>                            | 11             | 35     |
| <http://dbpedia.org/property/highestelev>                           | 11             | 24     |
| <http://dbpedia.org/ontology/arrondissement>                        | 11             | 41     |
| <http://dbpedia.org/property/lowestelev>                            | 11             | 24     |
| <http://dbpedia.org/ontology/location>                              | 10             | 46     |
| <http://dbpedia.org/property/waterarea>                             | 10             | 23     |
| <http://dbpedia.org/property/landarea>                              | 10             | 23     |
| <http://dbpedia.org/property/unitaryScotland>                       | 10             | 170    |
| <http://dbpedia.org/property/largestcity>                           | 10             | 23     |
| <http://dbpedia.org/property/gaelicName>                            | 10             | 170    |
| <http://dbpedia.org/ontology/councilArea>                           | 10             | 170    |
| <http://dbpedia.org/property/county>                                | 10             | 103    |
| <http://dbpedia.org/property/pop>                                   | 10             | 42     |
| <http://dbpedia.org/property/lieutenancyScotland>                   | 9              | 26     |
| <http://dbpedia.org/property/londonDistance>                        | 9              | 13     |
| <http://dbpedia.org/ontology/ceremonialCounty>                      | 9              | 12     |
| <http://dbpedia.org/property/vorwahl>                               | 8              | 47     |
| <http://dbpedia.org/property/mayorParty>                            | 8              | 17     |
| <http://dbpedia.org/ontology/state>                                 | 8              | 45     |
| <http://dbpedia.org/ontology/lieutenancyArea>                       | 8              | 25     |
| <http://dbpedia.org/property/plz>                                   | 8              | 47     |
| <http://dbpedia.org/property/scotsName>                             | 7              | 29     |
| <http://dbpedia.org/property/germanName>                            | 7              | 40     |
| <http://dbpedia.org/property/lowest>                                | 7              | 50     |
| <http://dbpedia.org/property/party>                                 | 7              | 14     |
| <http://dbpedia.org/property/postalCodes>                           | 7              | 15     |
| <http://dbpedia.org/property/year>                                  | 7              | 30     |
