-------------------------------------------------------------------------------------------------
| yProperty                                                           | yCountDistinct | yCount |
| <http://dbpedia.org/property/postalCodes>                           | 35             | 82     |
| <http://dbpedia.org/property/telephoneArea>                         | 35             | 82     |
| <http://dbpedia.org/property/closed>                                | 34             | 312    |
| <http://dbpedia.org/ontology/dateOfAbandonment>                     | 34             | 311    |
| <http://dbpedia.org/property/elevationImperial>                     | 34             | 96     |
| <http://dbpedia.org/ontology/twinTown>                              | 34             | 486    |
| <http://dbpedia.org/ontology/distanceToLondon>                      | 33             | 112    |
| <http://dbpedia.org/property/largestcity>                           | 33             | 727    |
| <http://dbpedia.org/ontology/floorCount>                            | 32             | 51     |
| <http://dbpedia.org/property/mayorParty>                            | 32             | 206    |
| <http://dbpedia.org/property/cityServed>                            | 32             | 43     |
| <http://dbpedia.org/property/officiallang>                          | 31             | 682    |
| <http://dbpedia.org/ontology/federalState>                          | 30             | 127    |
| <http://dbpedia.org/property/completionDate>                        | 29             | 56     |
| <http://dbpedia.org/ontology/nrhpReferenceNumber>                   | 29             | 41     |
| <http://dbpedia.org/property/anthem>                                | 29             | 117    |
| <http://dbpedia.org/ontology/added>                                 | 29             | 41     |
| <http://dbpedia.org/property/county>                                | 28             | 757    |
| <http://dbpedia.org/property/city>                                  | 27             | 507    |
| <http://dbpedia.org/property/twin>                                  | 27             | 460    |
| <http://dbpedia.org/property/bürgermeistertitel>                    | 26             | 118    |
| <http://dbpedia.org/property/demolished>                            | 25             | 91     |
| <http://dbpedia.org/ontology/demolitionDate>                        | 25             | 91     |
| <http://dbpedia.org/property/hotelName>                             | 25             | 32     |
| <http://dbpedia.org/ontology/yearOfConstruction>                    | 24             | 35     |
| <http://dbpedia.org/ontology/architecturalStyle>                    | 24             | 37     |
| <http://dbpedia.org/property/canton>                                | 24             | 112    |
| <http://dbpedia.org/ontology/canton>                                | 24             | 126    |
| <http://dbpedia.org/ontology/ceremonialCounty>                      | 23             | 111    |
| <http://dbpedia.org/ontology/regionalLanguage>                      | 23             | 4110   |
| <http://dbpedia.org/property/regionalLanguages>                     | 23             | 4407   |
| <http://dbpedia.org/property/servicesEngineer>                      | 22             | 213    |
