"p","callret-1"
"http://yago-knowledge.org/resource/infobox/nl/naam",1317
"http://yago-knowledge.org/resource/infobox/en/time",1300
"http://yago-knowledge.org/resource/infobox/en/origin",1292
"http://yago-knowledge.org/resource/infobox/en/gender",1287
"http://yago-knowledge.org/resource/infobox/en/visitorcoach",1285
"http://yago-knowledge.org/resource/infobox/en/homecoach",1285
"http://yago-knowledge.org/resource/infobox/en/color",1268
"http://yago-knowledge.org/resource/infobox/en/secondteam",1268
"http://yago-knowledge.org/resource/infobox/en/homerecord",1263
"http://yago-knowledge.org/resource/infobox/en/thirdteam",1263
"http://yago-knowledge.org/resource/infobox/en/aircrafttype",1259
"http://yago-knowledge.org/resource/infobox/en/visitorrecord",1258
"http://yago-knowledge.org/resource/infobox/en/colorprocess",1254
"http://yago-knowledge.org/resource/infobox/fr/légende",1253
"http://yago-knowledge.org/resource/infobox/en/demographic",1248
"http://yago-knowledge.org/resource/infobox/en/winner",1245
"http://yago-knowledge.org/resource/infobox/fr/surface",1244
"http://yago-knowledge.org/resource/infobox/en/crew",1244
"http://yago-knowledge.org/resource/infobox/en/winlabel",1239
"http://yago-knowledge.org/resource/infobox/en/coachcount",1232
"http://yago-knowledge.org/resource/infobox/en/occurrencetype",1231
"http://yago-knowledge.org/resource/infobox/en/nationsparticipating",1226
"http://yago-knowledge.org/resource/infobox/en/nickname",1209
"http://yago-knowledge.org/resource/infobox/en/passengers",1202
"http://yago-knowledge.org/resource/infobox/en/animator",1202
"http://yago-knowledge.org/resource/infobox/fr/pertes",1183
"http://yago-knowledge.org/resource/infobox/en/events",1182
"http://yago-knowledge.org/resource/infobox/en/tailnumber",1178
"http://yago-knowledge.org/resource/infobox/en/release",1175
"http://yago-knowledge.org/resource/infobox/en/survivors",1170
"http://yago-knowledge.org/resource/infobox/pl/scenografia",1162
"http://yago-knowledge.org/resource/infobox/en/headercaption",1160
"http://yago-knowledge.org/resource/infobox/en/hex",1159
"http://yago-knowledge.org/resource/infobox/en/fasttime",1158
"http://yago-knowledge.org/resource/infobox/en/shipdepth",1153
"http://yago-knowledge.org/resource/infobox/en/mediatype",1145
"http://yago-knowledge.org/resource/infobox/en/cartoonname",1144
"http://yago-knowledge.org/resource/infobox/en/fastdriver",1143
"http://yago-knowledge.org/resource/infobox/en/gamename",1139
"http://yago-knowledge.org/resource/infobox/fr/promudébut",1137
"http://yago-knowledge.org/resource/infobox/en/teamname",1130
"http://yago-knowledge.org/resource/infobox/en/grandprix",1130
"http://yago-knowledge.org/resource/infobox/en/pages",1130
"http://yago-knowledge.org/resource/infobox/en/fastteam",1128
"http://yago-knowledge.org/resource/infobox/en/score",1127
"http://yago-knowledge.org/resource/infobox/en/thirddriver",1126
"http://yago-knowledge.org/resource/infobox/en/seconddriver",1124
"http://yago-knowledge.org/resource/infobox/en/participants",1115
"http://yago-knowledge.org/resource/infobox/nl/titel",1114
"http://yago-knowledge.org/resource/infobox/en/productions",1113
"http://yago-knowledge.org/resource/infobox/en/category",1112
"http://yago-knowledge.org/resource/infobox/en/musician",1110
"http://yago-knowledge.org/resource/infobox/en/movielanguage",1103
"http://yago-knowledge.org/resource/infobox/en/keywords",1099
"http://yago-knowledge.org/resource/infobox/en/visitornameshort",1099
"http://yago-knowledge.org/resource/infobox/en/homenameshort",1099
"http://yago-knowledge.org/resource/infobox/en/url",1093
"http://yago-knowledge.org/resource/infobox/en/edition",1093
"http://yago-knowledge.org/resource/infobox/en/broadcastarea",1089
"http://yago-knowledge.org/resource/infobox/en/tour",1089
"http://yago-knowledge.org/resource/infobox/en/visitornickname",1084
"http://yago-knowledge.org/resource/infobox/en/jaromaji",1082
"http://yago-knowledge.org/resource/infobox/fr/issue",1080
"http://yago-knowledge.org/resource/infobox/en/homenickname",1080
"http://yago-knowledge.org/resource/infobox/en/athletesparticipating",1079
"http://yago-knowledge.org/resource/infobox/fr/début",1077
"http://yago-knowledge.org/resource/infobox/en/yearsactive",1073
"http://yago-knowledge.org/resource/infobox/en/datedecided",1073
"http://yago-knowledge.org/resource/infobox/en/shiporiginalcost",1068
"http://yago-knowledge.org/resource/infobox/fr/éditeur",1068
"http://yago-knowledge.org/resource/infobox/fr/chaîne",1066
"http://yago-knowledge.org/resource/infobox/en/display",1059
